Program,Threads,CommandIndex,Command,Run,Output
minizpar,2,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,4,$'# elapsed time (parallel_miniz): 11.8752s\nExiting with Success'
minizpar,2,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,4,$'# elapsed time (parallel_miniz): 29.6804s\nExiting with Success'
minizpar,2,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,4,$'# elapsed time (parallel_miniz): 7.88008s\nExiting with Success'
minizpar,2,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,4,$'# elapsed time (parallel_miniz): 18.9893s\nExiting with Success'
minizpar,2,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,4,$'# elapsed time (parallel_miniz): 2.00956s\nExiting with Success'
minizpar,2,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,5,$'# elapsed time (parallel_miniz): 12.5208s\nExiting with Success'
minizpar,2,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,5,$'# elapsed time (parallel_miniz): 1.07615s\nExiting with Success'
minizpar,2,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,5,$'# elapsed time (parallel_miniz): 28.1695s\nExiting with Success'
minizpar,2,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,5,$'# elapsed time (parallel_miniz): 9.96609s\nExiting with Success'
minizpar,2,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,5,$'# elapsed time (parallel_miniz): 16.9283s\nExiting with Success'
minizpar,2,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,5,$'# elapsed time (parallel_miniz): 1.27936s\nExiting with Success'
minizpar,2,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,6,$'# elapsed time (parallel_miniz): 20.7817s\nExiting with Success'
minizpar,2,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,6,$'# elapsed time (parallel_miniz): 5.02313s\nExiting with Success'
minizpar,2,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,6,$'# elapsed time (parallel_miniz): 29.8956s\nExiting with Success'
minizpar,2,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,6,$'# elapsed time (parallel_miniz): 2.22878s\nExiting with Success'
minizpar,2,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,6,$'# elapsed time (parallel_miniz): 18.3458s\nExiting with Success'
minizpar,2,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,6,$'# elapsed time (parallel_miniz): 5.54874s\nExiting with Success'
minizpar,2,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,7,$'# elapsed time (parallel_miniz): 15.3281s\nExiting with Success'
minizpar,2,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,7,$'# elapsed time (parallel_miniz): 8.86559s\nExiting with Success'
minizpar,2,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,7,$'# elapsed time (parallel_miniz): 27.626s\nExiting with Success'
minizpar,2,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,7,$'# elapsed time (parallel_miniz): 3.5202s\nExiting with Success'
minizpar,2,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,7,$'# elapsed time (parallel_miniz): 15.1971s\nExiting with Success'
minizpar,2,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,7,$'# elapsed time (parallel_miniz): 3.7253s\nExiting with Success'
minizpar,2,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,8,$'# elapsed time (parallel_miniz): 14.9681s\nExiting with Success'
minizpar,2,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,8,$'# elapsed time (parallel_miniz): 3.8382s\nExiting with Success'
minizpar,2,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,8,$'# elapsed time (parallel_miniz): 29.9437s\nExiting with Success'
minizpar,2,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,8,$'# elapsed time (parallel_miniz): 2.2144s\nExiting with Success'
minizpar,2,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,8,$'# elapsed time (parallel_miniz): 20.3031s\nExiting with Success'
minizpar,2,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,8,$'# elapsed time (parallel_miniz): 2.46794s\nExiting with Success'
minizpar,2,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,9,$'# elapsed time (parallel_miniz): 17.1606s\nExiting with Success'
minizpar,2,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,9,$'# elapsed time (parallel_miniz): 2.16014s\nExiting with Success'
minizpar,2,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,9,$'# elapsed time (parallel_miniz): 31.2052s\nExiting with Success'
minizpar,2,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,9,$'# elapsed time (parallel_miniz): 1.5809s\nExiting with Success'
minizpar,2,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,9,$'# elapsed time (parallel_miniz): 18.45s\nExiting with Success'
minizpar,2,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,9,$'# elapsed time (parallel_miniz): 1.689s\nExiting with Success'
minizpar,2,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,10,$'# elapsed time (parallel_miniz): 17.8266s\nExiting with Success'
minizpar,2,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,10,$'# elapsed time (parallel_miniz): 1.5738s\nExiting with Success'
minizpar,2,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,10,$'# elapsed time (parallel_miniz): 26.6691s\nExiting with Success'
minizpar,2,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,10,$'# elapsed time (parallel_miniz): 2.701s\nExiting with Success'
minizpar,2,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,10,$'# elapsed time (parallel_miniz): 14.1288s\nExiting with Success'
minizpar,2,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,10,$'# elapsed time (parallel_miniz): 1.72619s\nExiting with Success'
minizpar,4,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,1,$'# elapsed time (parallel_miniz): 9.34584s\nExiting with Success'
minizpar,4,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,1,$'# elapsed time (parallel_miniz): 0.977443s\nExiting with Success'
minizpar,4,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,1,$'# elapsed time (parallel_miniz): 21.7883s\nExiting with Success'
minizpar,4,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,1,$'# elapsed time (parallel_miniz): 6.3376s\nExiting with Success'
minizpar,4,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,1,$'# elapsed time (parallel_miniz): 12.3581s\nExiting with Success'
minizpar,4,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,1,$'# elapsed time (parallel_miniz): 2.20986s\nExiting with Success'
minizpar,4,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,2,$'# elapsed time (parallel_miniz): 14.5765s\nExiting with Success'
minizpar,4,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,2,$'# elapsed time (parallel_miniz): 2.54518s\nExiting with Success'
minizpar,4,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,2,$'# elapsed time (parallel_miniz): 22.7165s\nExiting with Success'
minizpar,4,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,2,$'# elapsed time (parallel_miniz): 2.5778s\nExiting with Success'
minizpar,4,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,2,$'# elapsed time (parallel_miniz): 12.4613s\nExiting with Success'
minizpar,4,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,2,$'# elapsed time (parallel_miniz): 4.45466s\nExiting with Success'
